passenger,name,package,luggage,station,bureau,address
False,白海,False,False,False,沈阳铁路局,内蒙古自治区兴安盟科尔沁右翼前旗索伦镇白海村
True,板石河,False,False,False,沈阳铁路局,吉林省抚松县泉阳镇千字号村
True,板杖子,False,False,False,沈阳铁路局,吉林省辉南县辉发城镇富强村
True,宝镜,False,False,False,沈阳铁路局,辽宁省辽阳市文圣区小屯镇宝镜村
True,宝山,False,False,False,沈阳铁路局,吉林省梅河口市黑山头镇和平村
True,北京北站,False,False,True,北京铁路局,北京市西城区北滨河路1号
False,北京东站,False,False,True,北京铁路局,北京市朝阳区百子湾路27号
True,北京南站,False,False,True,北京铁路局,北京市丰台区车站路12号
True,北京西站,True,True,True,北京铁路局,北京市丰台区莲花池东路118号
True,北京站,True,True,True,北京铁路局,北京市东城区毛家湾胡同甲13号
True,北马圈子,False,False,True,北京铁路局,河北省承德市鹰手营子矿区北马圈子镇
True,滨海北站,False,False,True,北京铁路局,天津市滨海新区茶东村（滨汉公路茶淀地道口附近）
True,滨海站,False,False,True,北京铁路局,天津市滨海新区西中环快速路与华山道交叉口西侧
True,泊头站,True,True,True,北京铁路局,河北省泊头市胜利东路东端
True,沧州西站,False,False,True,北京铁路局,河北省沧州市沧县北京路西端头
True,芦沟,False,False,False,昆明铁路局,云南省曲靖市罗平县芦沟火车站
True,马龙,False,False,False,昆明铁路局,云南省曲靖市马龙县通泉镇马龙火车站
True,茂舍祖,False,False,False,昆明铁路局,云南省昆明市石林县茂舍祖火车站
True,弥渡,False,False,False,昆明铁路局,云南省弥渡县红岩镇弥渡火车站
True,沐滂,False,False,False,昆明铁路局,云南省祥云县下庄镇沐滂火车站
True,南华,False,False,False,昆明铁路局,云南省南华县龙川镇南华火车站
True,平河口,False,False,False,昆明铁路局,云南省曲靖市沾益县白水镇平河口火车站
True,查干芒和,False,False,False,呼和浩特铁路局,内蒙古自治区锡林郭勒盟正蓝旗
True,查干特格,False,False,False,呼和浩特铁路局,格日勒敖都苏木陶力嘎查    
True,朝格温多尔,False,False,False,呼和浩特铁路局,内蒙古自治区锡林郭勒盟正镶白旗
True,楚鲁图,False,False,False,呼和浩特铁路局,苏尼特右旗赛汗塔拉镇格苏木
True,达日其嘎,False,False,False,呼和浩特铁路局,内蒙古自治区赤峰市巴林左旗查干哈达苏木达日其嘎嘎查火车
True,大官银号,False,False,False,呼和浩特铁路局,内蒙古自治区通辽市科尔沁区莫力庙苏木官银号村大官银号火车站
True,道德,False,False,False,呼和浩特铁路局,内蒙古自治区赤峰市阿鲁科尔沁旗绍根苏木清河子村火车站
