start,code,end,train_no
北京南,G397,丹东,240000G39705
青岛,T397,深圳,490000T39606
丹东,G398,北京南,120000G39802
深圳,T398,青岛,650000T39804
北京南,G399,长春,240000G39905
长春,G400,北京南,110000G40002
北京西,G401,贵阳北,240000G40105
北京西,K401,周口,240000K4010O
周口,K402,北京西,4d0000K40203
贵阳北,G402,北京西,780000G40202
北京西,G403,昆明南,240000G40303
昆明南,G404,北京西,800000G40401
北京西,G405,昆明南,240000G40502
昆明南,G406,北京西,800000G40601
北京南,G411,上海虹桥,240000G41103
北京,K411,威海,240000K4110S
威海,K412,北京,490000K4120E
上海虹桥,G412,北京南,5l0000G41230
兰州,K417,泰州,850000K42066
泰州,K418,兰州,5f0000K41922
泰州,K419,兰州,5f0000K41922
兰州,K420,泰州,850000K42066
北京西,G421,南宁东,240000G4210C
成都,K421,宁波,760000K4240H
宁波,K422,成都,5e0000K42284
南宁东,G422,北京西,710000G42203
石家庄,G423,南宁东,260000G42340
宁波,K423,成都,5e0000K42284
南宁东,G424,石家庄,710000G42440
成都,K424,宁波,760000K4240H
郑州东,G425,桂林,380000G42506
洛阳,K425,宁波,400000K42802
宁波,K426,洛阳,5e0000K42611
桂林,G426,郑州东,710000G42604
宁波,K427,洛阳,5e0000K42611
洛阳,K428,宁波,400000K42802
北京西,G429,郑州东,240000G42903
北京,K429,通化,240000K4290R
通化,K430,北京,190000K4300M
郑州东,G430,北京西,380000G43004
武汉,G431,南宁东,4e0000G43104
南宁东,G432,武汉,710000G43204
济南西,G433,南宁东,4p0000G43306
南宁东,G434,济南西,710000G43405
